windSpdKts,gustKts,windVrbDeg,visibilityMtrs,qnh,ws
21,0,0,7000,1018,0
09,0,0,9999,1014,0
08,0,0,9999,1012,0
09,0,0,9999,1012,0
09,0,0,9999,1012,0
07,0,0,9999,1012,0
07,0,0,9999,1014,0
08,0,0,9999,1014,0
07,0,0,9999,1015,0
09,0,0,9999,1015,0
06,0,110,9999,1015,0
05,0,80,9999,1015,0
09,0,0,9999,1016,0
07,0,0,9999,1016,0
02,0,0,9999,1017,0
01,0,0,9999,1018,0
01,0,0,9999,1018,0
04,0,60,9999,1018,0
04,0,0,9999,1018,0
05,0,0,9999,1018,0
05,0,0,9999,1018,0
08,0,0,9999,1018,0
13,0,0,9999,1018,0
13,0,0,9999,1018,0
15,0,0,9999,1019,0
17,0,0,9999,1019,0
19,0,0,9999,1020,0
18,0,0,9999,1020,0
17,0,0,9999,1020,0
16,0,0,9999,1021,0
16,0,0,9999,1021,0
16,0,0,9999,1022,0
15,0,0,9999,1023,0
15,0,0,9999,1023,0
18,0,0,9999,1022,0
18,0,0,9999,1022,0
14,0,0,9999,1022,0
15,0,0,9999,1022,0
19,0,0,9999,1022,0
20,0,0,9999,1022,1
16,0,0,9999,1022,0
19,0,0,9999,1022,0
20,0,0,9999,1022,0
21,0,0,9999,1021,1
19,0,0,9999,1022,0
19,0,0,9999,1022,0
19,0,0,9999,1022,0
23,0,0,9999,1024,0
22,0,0,9999,1024,0
19,0,0,9999,1026,1
23,0,0,9999,1026,0
22,0,0,9999,1026,0
22,0,0,9999,1027,1
22,0,0,9999,1026,0
20,0,0,9999,1026,0
21,0,0,9999,1026,0
21,0,0,9999,1025,0
16,0,0,9999,1025,0
17,0,0,9999,1025,0
16,0,0,9999,1025,0
18,0,0,9999,1024,0
17,0,0,9999,1024,0
12,0,0,9999,1025,0
11,0,0,9999,1025,0
11,0,0,9999,1025,0
09,0,0,9999,1025,0
10,0,0,9999,1025,0
13,0,0,9999,1025,0
12,0,0,9999,1025,0
10,0,0,9999,1025,1
12,0,0,9999,1024,0
14,0,0,9999,1025,0
10,0,0,9999,1025,0
10,0,0,9999,1025,0
13,0,0,9999,1025,0
16,0,0,9999,1025,0
18,0,0,9999,1025,0
18,0,0,9999,1025,0
16,0,0,9999,1025,0
17,0,0,9999,1025,0
12,0,0,9999,1024,0
16,0,0,9999,1024,0
16,0,0,9999,1024,0
17,0,0,9999,1024,0
18,0,0,9999,1024,0
20,0,0,9999,1024,0
16,0,0,9999,1024,0
16,0,0,9999,1024,0
18,0,0,9999,1024,0
17,0,0,9999,1024,0
19,0,0,9999,1024,0
19,0,0,9999,1025,0
13,0,0,9999,1025,0
13,0,0,9999,1025,0
13,0,0,9999,1025,0
19,0,0,9000,1025,0
17,0,0,9000,1024,0
17,0,0,8000,1024,1
20,0,0,9999,1024,1
19,0,0,9999,1024,1
17,0,0,9999,1024,1
18,0,0,9999,1023,1
16,0,0,9999,1023,1
15,0,0,9999,1023,0
15,0,0,9999,1023,0
16,0,0,9999,1023,0
15,0,0,9999,1024,0
17,0,0,9999,1024,0
18,0,0,9999,1024,0
16,0,0,8000,1024,0
16,0,0,8000,1024,0
17,0,0,8000,1024,0
16,0,0,5000,1024,0
18,0,0,5000,1024,0
18,0,0,7000,1024,0
17,0,0,9999,1024,0
18,0,0,7000,1023,0
17,27,0,5000,1023,0
17,0,0,5000,1023,0
17,0,0,5000,1022,0
15,0,0,7000,1022,0
16,0,0,9999,1022,0
17,0,0,9999,1021,1
17,0,0,8000,1021,1
17,0,0,9999,1021,0
17,0,0,9999,1021,0
19,0,0,9999,1022,0
17,0,0,7000,1022,0
16,0,0,4000,1022,1
14,0,0,4500,1023,0
14,0,0,5000,1022,0
16,0,0,5000,1022,0
17,0,0,5000,1021,0
15,0,0,4000,1021,1
15,0,0,3000,1021,0
15,0,60,3500,1020,0
14,0,0,5000,1019,1
14,0,0,3500,1019,1
14,0,0,5000,1019,1
15,0,0,4000,1019,1
14,0,0,4000,1019,1
14,0,0,3000,1019,1
16,0,0,3000,1019,0
15,0,0,3000,1019,1
14,0,0,6000,1019,0
13,0,0,6000,1019,0
13,0,0,8000,1019,1
14,0,0,5000,1020,1
15,0,0,2800,1019,1
13,0,0,3000,1019,0
12,0,0,3000,1019,0
10,0,0,3000,1019,0
10,0,0,9999,1018,0
10,0,0,9999,1018,0
12,0,0,6000,1017,0
12,0,0,4000,1018,0
15,0,0,3500,1018,0
16,0,0,4000,1017,1
16,0,0,2500,1017,1
16,0,0,3000,1018,0
13,0,0,3000,1017,1
14,0,80,4000,1019,0
19,0,0,3500,1018,0
17,0,0,4500,1019,1
16,0,0,5000,1019,0
18,0,0,5000,1019,1
15,0,0,5000,1019,1
15,0,0,5000,1019,1
19,0,0,3000,1019,1
12,0,60,3000,1019,1
13,0,0,1500,1018,0
13,0,0,3500,1018,0
13,0,0,5000,1018,0
15,0,0,3500,1017,0
13,0,0,3500,1018,0
12,0,0,4000,1018,0
14,0,0,4000,1018,0
13,0,0,5000,1018,0
13,0,0,5000,1018,1
13,0,0,5000,1019,1
13,0,0,5000,1019,1
13,0,0,5000,1019,1
12,0,0,4000,1019,0
13,0,0,6000,1019,0
