windSpdKts,gustKts,windVrbDeg,intensity,rain,visibilityMtrs,qnh,ws
12,0,0,0.3,1,8000,1024,0
11,0,0,0.3,1,4000,1024,0
08,0,60,0.3,1,6000,1024,0
12,0,0,0.3,1,9999,1023,0
13,0,0,0.3,1,9999,1023,0
10,0,0,0.3,1,8000,1023,0
11,0,0,0.3,1,7000,1023,0
11,0,0,0.3,1,7000,1023,0
10,0,0,0.3,1,8000,1022,0
12,0,0,0.3,1,9000,1022,0
12,0,0,0.3,1,9000,1022,0
12,0,0,0.3,1,6000,1022,0
12,0,0,0.3,1,5000,1022,0
12,0,0,0.3,1,9000,1022,0
13,0,0,0.3,1,9999,1022,0
13,0,0,0.3,1,9999,1021,0
13,0,0,0.3,1,9999,1023,0
12,0,0,0.3,1,9999,1024,0
12,0,0,0.3,1,8000,1024,0
13,0,0,0.3,1,8000,1025,0
12,0,0,0.3,1,8000,1025,0
11,0,0,0.3,1,8000,1025,0
13,0,0,0.3,1,8000,1025,0
13,0,0,0.3,1,8000,1025,0
12,0,0,0.3,1,8000,1025,0
10,0,0,0.3,1,6000,1025,0
11,0,0,0.3,1,6000,1025,0
11,0,0,0.3,1,7000,1025,0
12,0,0,0.3,1,9000,1024,0
12,0,0,0.3,1,5000,1024,0
11,0,0,0.3,1,4500,1025,0
10,0,0,0.3,1,7000,1026,0
10,0,0,0.3,1,6000,1026,0
11,0,0,0.3,1,6000,1026,0
10,0,0,0.3,1,4000,1026,0
10,0,0,0.3,1,9999,1026,0
13,0,0,0.3,1,9000,1026,0
10,0,60,0.3,1,8000,1026,0
08,0,0,0.3,1,9000,1026,0
08,0,0,0.3,1,8000,1026,0
09,0,0,0.3,1,6000,1025,0
09,0,0,0.3,1,6000,1024,0
06,0,0,0.3,1,6000,1024,0
09,0,60,0.3,1,6000,1024,0
09,0,80,0.3,1,7000,1024,0
10,0,0,0.3,1,7000,1024,0
10,0,0,0.3,1,8000,1024,0
06,0,110,0.3,1,9000,1025,0
07,0,80,0.3,1,9000,1026,0
10,0,100,0.3,1,9999,1026,0
08,0,120,0.3,1,9999,1027,0
08,0,80,0.3,1,9000,1027,0
07,0,70,0.3,1,9000,1027,0
11,21,90,0.3,1,9999,1026,0
08,21,100,0.3,1,9999,1026,0
07,0,80,0.3,1,7000,1025,0
12,0,70,0.3,1,8000,1024,0
07,0,0,0.3,1,8000,1023,0
07,0,0,0.3,1,9999,1023,0
07,0,60,0.3,1,9999,1023,0
10,0,60,0.3,1,9999,1023,0
03,0,160,0.3,1,9999,1022,0
06,0,70,0.3,1,9000,1023,0
07,0,90,0.3,1,9999,1022,0
08,0,0,0.3,1,9999,1022,0
10,0,0,0.3,1,9999,1021,0
10,0,0,0.3,1,9999,1021,0
08,0,60,0.3,1,9999,1021,0
09,0,0,0.3,1,9999,1021,0
09,0,0,0.3,1,9999,1021,0
08,0,60,0.3,1,9999,1020,0
09,0,70,0.3,1,9999,1020,0
09,0,60,0.3,1,9999,1020,0
06,0,60,0.3,1,9999,1020,0
08,0,0,0.3,1,9999,1019,0
08,0,90,0.3,1,9999,1018,0
08,0,70,0.3,1,9999,1017,0
08,0,0,0.3,1,9000,1017,0
09,0,0,0,0,9999,1017,0
08,0,0,0,0,9999,1017,0
11,0,0,0,0,9999,1017,0
10,0,0,0,0,9999,1018,0
06,0,0,0,0,9999,1018,0
03,0,70,0.3,1,9000,1019,0
04,0,100,0,0,9999,1019,0
09,0,0,0,0,9999,1018,0
03,0,170,0.3,1,9000,1018,0
02,0,0,0.3,1,7000,1017,0
05,0,0,0.3,1,4000,1016,0
01,0,0,0.3,1,3000,1016,0
02,0,0,0.3,1,5000,1015,0
03,0,60,0.3,1,3000,1015,0
02,0,0,0.3,1,3000,1015,0
02,0,0,0.3,1,2500,1015,0
03,0,0,0.3,1,2500,1015,0
01,0,0,0.3,1,2000,1015,0
01,0,0,0.3,1,2500,1015,0
02,0,0,0.3,1,9999,1015,0
02,0,0,0.3,1,7000,1015,0
02,0,0,0.3,1,7000,1015,0
04,0,80,0.3,1,9999,1015,0
04,0,60,0.3,1,9999,1014,0
03,0,70,0.3,1,9999,1015,0
04,0,0,0.3,1,9999,1014,0
05,0,0,0.3,1,9000,1014,0
05,0,0,0.3,1,7000,1014,0
03,0,100,0.3,1,8000,1014,0
03,0,60,0.3,1,8000,1014,0
01,0,0,0.3,1,7000,1014,0
02,0,0,0.3,1,7000,1014,0
05,0,0,0.3,1,7000,1014,0
03,0,80,0.3,1,4500,1014,0
05,0,0,0.3,1,2400,1015,0
04,0,0,0.3,1,7000,1015,0
05,0,70,0.3,1,7000,1016,0
05,0,0,0.3,1,6000,1017,0
04,0,70,0.3,1,6000,1018,0
06,0,0,0.3,1,7000,1018,0
09,0,0,0.3,1,7000,1018,0
